Variables;model;params;f1_macro;f1_weighted;f1_noise;f1_physio;f1_twave
2;svm;{'C': 1, 'kernel': 'sigmoid'};0.6166485949218397;0.7114112979986859;0.5258064516129032;0.3333333333333333;0.584313725490196
2;svm;{'C': 10, 'kernel': 'sigmoid'};0.5686449405355126;0.6466815558262333;0.5275862068965518;0.34375;0.41965317919075146
2;svm;{'C': 1, 'kernel': 'linear'};0.5069762922658375;0.6051172386741724;0.41913978494623655;0.3333333333333333;0.6043674698795181
1;svm;{'C': 10, 'kernel': 'sigmoid'};0.4914072872568738;0.611447285443259;0.5075862068965518;0.42647058823529416;0.41893491124260357
2;svm;{'C': 10, 'kernel': 'linear'};0.48787022501308214;0.5799625316893;0.3641025641025641;0.3333333333333333;0.6103571428571428
1;svm;{'C': 10, 'kernel': 'linear'};0.47695389266817845;0.6180337604297382;0.4844444444444445;0.4375;0.4609523809523809
1;svm;{'C': 0.1, 'kernel': 'sigmoid'};0.4605192713888366;0.5719981275700989;0.37777777777777777;0.42391304347826086;0.4215909090909091
1;svm;{'C': 1, 'kernel': 'sigmoid'};0.4523342670401494;0.544298496097468;0.2;0.41666666666666663;0.8580882352941177
1;svm;{'C': 1, 'kernel': 'linear'};0.4479269889774091;0.5855808819556065;0.43200000000000005;0.42647058823529416;0.3851461038961039
0;svm;{'C': 0.1, 'kernel': 'sigmoid'};0.4328938931894597;0.5112887091227518;0.2571428571428571;0.43;0.421264367816092
3;svm;{'C': 10, 'kernel': 'linear'};0.4263373707366198;0.48966963613712583;0.3557692307692307;0.3;0.43105965790571543
0;svm;{'C': 1, 'kernel': 'sigmoid'};0.42333548804137033;0.5056846288428242;0.30153846153846153;0.4444444444444444;0.6511437908496732
3;svm;{'C': 10, 'kernel': 'sigmoid'};0.4167206565165749;0.5091780123977468;0.5285714285714286;0.1388888888888889;0.32568027210884354
0;svm;{'C': 0.1, 'kernel': 'linear'};0.39810940746901335;0.4794974367383377;0.1972831765935214;0.4444444444444444;0.6323593073593073
1;knn;{'n_neighbors': 3, 'p': 1};0.3979106480128975;0.4756414268475737;0.20296296296296296;0.3;0.7686605316973414
1;svm;{'C': 0.1, 'kernel': 'rbf'};0.3925603132499684;0.4481627958025681;0.4;0.15517241379310345;0.5557692307692308
0;knn;{'n_neighbors': 1, 'p': 1};0.3883663769886557;0.49594636132425846;0.1972831765935214;0.39285714285714285;0.7327956989247312
1;svm;{'C': 0.1, 'kernel': 'linear'};0.38472574214871136;0.4692325258042807;0.16296296296296295;0.42647058823529416;0.62296918767507
2;svm;{'C': 0.1, 'kernel': 'linear'};0.38354847963281696;0.48524519947566497;0.15999999999999998;0.40625;0.7407128514056224
2;svm;{'C': 10, 'kernel': 'poly'};0.37173018143427583;0.4132516596806043;0.20862745098039218;0.3214285714285714;0.6027039007092199
3;svm;{'C': 0.1, 'kernel': 'sigmoid'};0.36861595494978194;0.45501851875216204;0.13333333333333333;0.4051724137931034;0.5967280163599182
0;svm;{'C': 0.1, 'kernel': 'rbf'};0.36748768472906407;0.4524224018365297;0.3333333333333333;0.15517241379310345;0.5908045977011493
2;svm;{'C': 0.1, 'kernel': 'rbf'};0.3673021439240025;0.45199547784818417;0.3333333333333333;0.15517241379310345;0.5898305084745763
0;knn;{'n_neighbors': 2, 'p': 1};0.3648528283235858;0.45245445228522424;0.20212940212940214;0.3833333333333333;0.6128155960370725
1;knn;{'n_neighbors': 1, 'p': 1};0.3601675830944124;0.4862549232807343;0.2016969696969697;0.3653846153846154;0.7733739837398373
2;knn;{'n_neighbors': 1, 'p': 1};0.3528009534165485;0.41943769709631074;0.08205128205128205;0.3970588235294118;0.6900820793433653
1;rf;{'criterion': 'gini', 'min_samples_leaf': 2};0.35174117301629587;0.46922631932146436;0.18211382113821137;0.4285714285714286;0.5904274533413607
1;knn;{'n_neighbors': 1, 'p': 2};0.35163678783827423;0.47460902606293154;0.2016969696969697;0.3833333333333333;0.7106385906963941
1;rf;{'criterion': 'entropy', 'min_samples_leaf': 2};0.35155657209000285;0.46948785358868683;0.1846153846153846;0.4285714285714286;0.5863313441318556
2;knn;{'n_neighbors': 1, 'p': 2};0.34938080495356033;0.4175426430153052;0.06666666666666667;0.3970588235294118;0.691357069143447
0;svm;{'C': 1, 'kernel': 'poly'};0.34476645219966934;0.4249821685192613;0.17235772357723578;0.3214285714285714;0.6064814814814814
2;knn;{'n_neighbors': 2, 'p': 1};0.34371751427223923;0.41117935648856;0.0711111111111111;0.35714285714285715;0.6959852038975101
2;svm;{'C': 0.1, 'kernel': 'poly'};0.3426562408273934;0.41428595317316697;0.0;0.4276556776556777;0.7087895866881373
0;knn;{'n_neighbors': 2, 'p': 2};0.33878785934042;0.3988828199600712;0.19469696969696967;0.41666666666666663;0.4519317160826595
2;svm;{'C': 10, 'kernel': 'rbf'};0.3344801556986431;0.40044076942339163;0.22424242424242427;0.3214285714285714;0.4542892156862745
2;svm;{'C': 0.1, 'kernel': 'sigmoid'};0.3337300049814579;0.42287456452546374;0.3333333333333333;0.15517241379310345;0.5135767790262172
0;knn;{'n_neighbors': 1, 'p': 2};0.3331654563476633;0.39565457229712625;0.16969696969696968;0.41666666666666663;0.45366410037068716
1;knn;{'n_neighbors': 2, 'p': 1};0.3326589234419882;0.46243182182072423;0.29215686274509806;0.3666666666666667;0.5145966029723992
2;svm;{'C': 1, 'kernel': 'poly'};0.33156628505060565;0.3894534908445974;0.08428571428571428;0.375;0.6353658536585365
