model;params;silhouette;calinski-harabasz;davies-bouldin;db_inv;silh_norm;ch_norm;db_norm;comb_score
Kmeans;num clusters: 2;0.4335319740083556;28.773151135889428;1.1992073217594459;0.8338841681960597;0.8349286789880094;0.8341573780007949;1.0;0.8511272906943227
GMM;num components: 2;0.4335319740083556;28.773151135889428;1.1992073217594459;0.8338841681960597;0.8349286789880094;0.8341573780007949;1.0;0.8511272906943227
Kmeans;num clusters: 3;0.3083442371507511;32.49832789394951;1.335558070675468;0.7487506698186795;0.34867618555626423;0.9939738757501104;0.8195278220889288;0.6538804252870692
Hierarchical;num clusters: 2;0.3196158477560219;32.1235672640648;1.6785656214939078;0.5957467418580927;0.3924572211383587;0.9778959993827911;0.4951789742876447;0.6369049077510602
DBSCAN;epsilon: 3;0.47603027556305383;15.0026328261287;1.8274728498684893;0.5472037519309593;1.0;0.24337842940538734;0.3922740158231084;0.6365787733444658
Hierarchical;num clusters: 3;0.2869947558625427;32.63879135243477;1.2430052666241698;0.8045018205883082;0.26575082265371475;1.0;0.9377131638429184;0.6266467277111493
DBSCAN;epsilon: 3.5;0.4747823231548205;10.309209012172174;1.7681827473343643;0.5655524020396402;0.9951527203429053;0.04202246561740819;0.4311708180214977;0.5575024282205657
Kmeans;num clusters: 4;0.23602868890964096;31.53776034129713;1.5195752384777141;0.6580786358441744;0.06778912322267072;0.9527638736248747;0.6273146538426511;0.47773157644555037
Hierarchical;num clusters: 5;0.2402060040439859;29.54867932764849;1.386631501634155;0.7211721346453567;0.08401459347169227;0.8674288729022441;0.7610648386430485;0.46508532976104866
DBSCAN;epsilon: 2.5;0.4240850802043507;12.153993373020102;2.322520029059092;0.43056679274586224;0.7982351834213689;0.1211668914531796;0.1450185118175069;0.462086199473707
Hierarchical;num clusters: 4;0.2185760957930184;30.603309029392786;1.5399043764682108;0.649390972115757;0.0;0.9126743032004163;0.6088979127958261;0.4259595125597492
Kmeans;num clusters: 5;0.235879924188699;27.441357230218195;1.4836674026879215;0.6740055070215374;0.0672112933304746;0.77702112607188;0.6610775930319499;0.41052185639718436
GMM;num components: 3;0.2574738688006258;21.060440944216474;2.0406714699415818;0.4900347825358812;0.15108619732781914;0.5032688293375308;0.2710830790907064;0.30395893830799253
GMM;num components: 4;0.2316469876669726;21.8960189127724;1.7355487163615713;0.5761866495435599;0.050769779250154135;0.5391165630704765;0.4537140688458723;0.2864029217378549
GMM;num components: 5;0.2281829617830362;19.968544651356716;1.635051312812486;0.6116016006126922;0.03731485734121276;0.45642459810669345;0.528789256308843;0.2541061935441681
DBSCAN;epsilon: 2;0.25584032289788744;9.32970367674745;2.7612278514059576;0.36215772613289465;0.14474120069891416;0.0;0.0;0.07237060034945708
